"","Sector","Div","PE","PS","PB","diff","P"
"TIF","Consumer Discretionary",3.02,17.66,1.86,2.55,64.2868785656072,27.4001695191524
"TWX","Consumer Discretionary",2.12,15.64,2.12,2.52,45.9338122113905,23.7942560287327
"TJX","Consumer Discretionary",1.35,23.2,1.62,11.26,19.8454913880446,-4.50860942249239
"TMK","Financials",0.93,14.56,1.92,1.67,24.119373776908,21.7058007175473
"TSS","Information Technology",0.76,26.49,3.38,5.02,35.5860025921126,-3.3512294019626
"TSCO","Consumer Discretionary",1.04,30.35,1.94,9.09,23.7485323940655,-18.5291898815242
"RIG","Energy",0,2.91,0.72,0.3,78.4184514003295,28.2537067545305
"FOXA","Consumer Discretionary",1.11,24.3,1.9,3.54,43.4657039711191,4.07942238267148
"FOX","Consumer Discretionary",1.1,24.56,1.92,3.59,39.3214285714286,0.464282142857148
"TSN","Consumer Staples",0.89,18.65,0.68,2.69,45.545560069646,-7.84968369123621
"USB","Financials",2.6,12.68,3.64,1.65,22.9234222998254,28.8101746071339
"UDR","Financials",3.22,35.32,10.71,3.34,23.1329199245079,-2.58829603666757
"ULTA","Consumer Discretionary",0,46.53,3.74,11.73,52.918427557611,3.59620285463679
"UNP","Industrials",2.5,16.94,3.52,3.62,36.0017642518469,13.6067912669534
"UAL","Industrials",0,2.15,0.36,1.74,59.787849566056,73.5535149469624
"UNH","Health Care",1.78,22.71,0.81,3.82,33.9491753380052,14.4970623628513
"UPS","Industrials",2.89,19.9,1.62,38.85,20.5898466033601,5.0036523009496
"UTX","Industrials",2.59,12.15,1.52,3.01,27.9471348639784,7.24483696700753
"UHS","Health Care",0.3,19.72,1.41,3.05,34.8133566637504,-21.1431875182269
"UNM","Financials",2.43,8.81,0.67,0.81,45.3846153846154,42.7243557692308
"VFC","Consumer Discretionary",2.36,22.95,2.11,5.35,39.3286494925839,-16.9086635441062
"VLO","Energy",5.08,6.63,0.27,1.07,56.5681961030798,43.2851435156086
"VAR","Health Care",0,21.02,2.56,4.74,23.1909636427815,4.62407106718439
"VTR","Financials",4.05,54.98,7.32,2.53,37.1196475285695,-14.1263954288861
"VZ","Telecommunications Services",4.08,12.68,1.71,12.11,33.7924865831843,-2.00357960644008
"VIAB","Consumer Discretionary",3.72,8.11,1.31,4.38,71.9469026548673,-18.2743384955752
"V","Information Technology",0.75,26.64,12.45,6.1,28.4349646689348,5.12954200471081
"VNO","Financials",2.57,39.61,7.44,3.52,24.3878160461875,6.32092175990444
"VMC","Materials",0.66,60.09,4.58,3.67,36.7688698325378,3.09036485721221
"WMT","Consumer Staples",2.72,16.32,0.47,3.06,24.160346695558,-7.32665222101841
"WBA","Consumer Staples",1.77,28.27,0.74,2.82,31.5403422982885,0.244498777506116
"WM","Industrials",2.44,26.87,2.28,5.66,33.9446827392398,4.08224079278213
"WAT","Health Care",0,25.91,5.61,5.49,23.858595509452,-7.72537569098479
"WFC","Financials",3.26,11.74,2.82,1.35,29.859803306131,16.1121615400711
"HCN","Financials",4.5,34.4,6.82,1.98,32.2401481089659,-10.989158952658
"WDC","Information Technology",4.2,13.94,0.88,1.16,108.348530901722,43.9918905775076
"WU","Information Technology",3.34,12.22,1.71,7.54,23.5053653551354,14.5120081757793
"WY","Financials",4.12,37.86,3.14,2.23,34.757091620476,-0.586892729051201
"WHR","Consumer Discretionary",2.38,18.27,0.62,2.68,40.8390710701365,8.19231999066402
"WFM","Consumer Staples",1.63,22.91,0.69,3.29,41.3936867182847,-8.30851399642644
"WLTW","Financials",1.54,26.71,3.48,1.54,20.4621781544858,-0.719651367343676
"WEC","Utilities",3.02,24.35,3.02,2.3,30.9088113178533,-9.39566661540828
"WYN","Consumer Discretionary",2.84,14.46,1.43,9.5,36.9592259847961,5.36282377332412
"XEL","Utilities",3,21.13,2.08,2.11,29.1320923973985,-8.34267997308814
"XRX","Information Technology",3.3,38.31,0.53,1.04,31.2368972746331,-24.9475890985325
"XLNX","Information Technology",2.9,22.91,5.24,4.48,25.5269320843091,25.1437066212476
"XL","Financials",2.45,8.31,0.88,0.8,45.1984247197819,14.6016419266889
"XYL","Industrials",1.43,24.53,2.23,3.78,36.1344537815126,8.12324929971989
"YUM","Consumer Discretionary",2.18,28.29,2.62,220.13,32.3577425373134,-26.1310657649254
"ZBH","Health Care",0.79,307.61,3.59,2.51,29.3938666026103,-16.2623092321243
"ZION","Financials",0.98,20.45,2.44,0.73,51.6168148746969,77.5262651576395
"ZTS","Health Care",0.8,63.98,4.9,20.32,26.1030927835052,11.6288639175258
